Name,Score
amd athlon 64 x2 dual-core tk-42,577
amd athlon 64 x2 dual-core tk-53,602
amd athlon 64 x2 dual-core tk-55,518
amd athlon 64 x2 dual-core tk-57,624
amd athlon 64 x2 ql-60,651
amd athlon 64 x2 ql-62,525
amd athlon 64 x2 ql-64,605
amd athlon 64 x2 ql-65,637
amd athlon 64 x2 ql-66,641
amd athlon 64 x2 ql-67,582
amd athlon 7450 dual-core,789
amd athlon 7550 dual-core,977
amd athlon 7750 dual-core,1005
amd athlon 7850 dual-core,1058
amd athlon dual core 4050e,674
amd athlon dual core 4450b,723
amd athlon dual core 4450e,710
amd athlon dual core 4850b,727
amd athlon dual core 4850e,799
amd athlon dual core 5000b,856
amd athlon dual core 5050e,846
amd athlon dual core 5200b,823
amd athlon dual core 5400b,914
amd athlon dual core 5600b,737
amd athlon gold 3150c,3292
amd athlon gold 3150g,6922
amd athlon gold 3150u,3955
amd athlon gold 7220u,4904
amd athlon gold pro 3150g,7468
amd athlon gold pro 3150ge,7006
amd athlon gold pro 4150ge,8259
amd athlon ii 160u,358
amd athlon ii 170u,355
amd athlon ii dual-core m300,670
amd athlon ii dual-core m320,763
amd athlon ii dual-core m340,807
amd athlon ii n330 dual-core,665
amd athlon ii n350 dual-core,856
amd athlon ii n370 dual-core,899
amd athlon ii neo k125,315
amd athlon ii neo k145,298
amd athlon ii neo k325 dual-core,417
amd athlon ii neo k345 dual-core,527
amd athlon ii neo n36l dual-core,487
amd athlon ii p320 dual-core,704
amd athlon ii p340 dual-core,722
amd athlon ii p360 dual-core,753
amd athlon ii x2 210e,1089
amd athlon ii x2 215,1008
amd athlon ii x2 220,1043
amd athlon ii x2 235e,1079
amd athlon ii x2 240,1057
amd athlon ii x2 240e,1007
amd athlon ii x2 245,1130
amd athlon ii x2 245e,1126
amd athlon ii x2 250,1177
amd athlon ii x2 250e,1202
amd athlon ii x2 250u,615
amd athlon ii x2 255,1209
amd athlon ii x2 260,1235
amd athlon ii x2 260u,713
amd athlon ii x2 265,1310
amd athlon ii x2 270,1325
amd athlon ii x2 270u,675
amd athlon ii x2 280,1355
amd athlon ii x2 4300e,990
amd athlon ii x2 4400e,944
amd athlon ii x2 4450e,867
amd athlon ii x2 b22,1064
amd athlon ii x2 b24,1111
amd athlon ii x2 b26,1215
amd athlon ii x2 b28,1284
amd athlon ii x3 400e,1320
amd athlon ii x3 405e,1331
amd athlon ii x3 415e,1481
amd athlon ii x3 420e,1557
amd athlon ii x3 425,1591
amd athlon ii x3 435,1633
amd athlon ii x3 440,1729
amd athlon ii x3 445,1807
amd athlon ii x3 450,1872
amd athlon ii x3 455,1939
amd athlon ii x3 460,1992
amd athlon ii x4 553,2418
amd athlon ii x4 555,2526
amd athlon ii x4 557,2567
amd athlon ii x4 559,2652
amd athlon ii x4 600e,1795
amd athlon ii x4 605e,1964
amd athlon ii x4 610e,1959
amd athlon ii x4 615e,2000
amd athlon ii x4 620,2032
amd athlon ii x4 630,2176
amd athlon ii x4 631 quad-core,2118
amd athlon ii x4 635,2242
amd athlon ii x4 638 quad-core,2260
amd athlon ii x4 640,2269
amd athlon ii x4 641 quad-core,2313
amd athlon ii x4 645,2376
amd athlon ii x4 650,2457
amd athlon ii x4 651 quad-core,2470
amd athlon ii x4 655,2078
amd athlon l110,211
amd athlon le-1600,412
amd athlon le-1620,421
amd athlon le-1640,430
amd athlon le-1660,416
amd athlon neo mv-40,281
amd athlon neo x2 dual core 6850e,456
amd athlon neo x2 dual core l325,556
amd athlon neo x2 dual core l335,529
amd athlon pro 200ge,3816
amd athlon pro 300ge,4350
amd athlon pro 300u,4080
amd athlon pro 3045b,2770
amd athlon silver 3050c,2879
amd athlon silver 3050e,2897
amd athlon silver 3050ge,4545
amd athlon silver 3050u,2950
amd athlon silver 7120u,3004
amd athlon silver pro 3125ge,4633
amd athlon tf-20,265
